translation,ayah_number,surah_number,sentence,en-tafsir-mokhtasar-html
"As for those who disbelieve, and obstruct the way of God and the holy Mosque which We have set down for all men, the native and the visitor alike. Whoever puts obstructions in this mischievously will taste of painful punishment.",24,22,إِنَّ ٱلَّذِينَ كَفَرُوا۟ وَيَصُدُّونَ عَن سَبِيلِ ٱللَّهِ وَٱلْمَسْجِدِ ٱلْحَرَامِ ٱلَّذِى جَعَلْنَٰهُ لِلنَّاسِ سَوَآءً ٱلْعَٰكِفُ فِيهِ وَٱلْبَادِ وَمَن يُرِدْ فِيهِ بِإِلْحَادٍۭ بِظُلْمٍ نُّذِقْهُ مِنْ عَذَابٍ أَلِيمٍ,"Those who disbelieved in Allah, turn others away from entering Islam and stop people from the Sacred Mosque, like what the idolaters did in the year of Hudaiybiyah, that mosque which I made a direction for people in their prayers and one of the rites of Hajj and Umrah, and in which the person from Makkah who lives there and one who comes there besides the people of Makkah are the same; whoever intends to purposefully commit a shameful sin therein, I will make him taste a painful punishment."
"When We chose the site of the House for Abraham (We said:) ""Associate no one with Me, and clean My House for those who will circumambulate it, stand (in reverence), and bow in homage.",25,22,وَإِذْ بَوَّأْنَا لِإِبْرَٰهِيمَ مَكَانَ ٱلْبَيْتِ أَن لَّا تُشْرِكْ بِى شَيْـًٔا وَطَهِّرْ بَيْتِىَ لِلطَّآئِفِينَ وَٱلْقَآئِمِينَ وَٱلرُّكَّعِ ٱلسُّجُودِ,"Remember, O Messenger, when I clarified for Abraham (peace be upon him) the place of the house and its limits, after it was unknown, and I revealed to him not to associate anything in worshipping Me, but rather worship Me alone. And purify My House from physical and immaterial impurities for those who circumambulate it and perform prayer therein."
"Announce the Pilgrimage to the people. They will come to you on foot and riding along distant roads on lean and slender beasts,",26,22,وَأَذِّن فِى ٱلنَّاسِ بِٱلْحَجِّ يَأْتُوكَ رِجَالًا وَعَلَىٰ كُلِّ ضَامِرٍ يَأْتِينَ مِن كُلِّ فَجٍّ عَمِيقٍ,"Proclaim amongst the people, calling them towards pilgrimage of this House I ordered you to build. They will come to you walking and riding on every camel which is frail due to the difficulty it endured from travelling. The camels will bring them, carrying them from every distant path."
"In order to reach the place of advantage for them, and to pronounce the name of God on appointed days over cattle He has given them for food; then eat of the meat and feed the needy and the poor.",27,22,لِّيَشْهَدُوا۟ مَنَٰفِعَ لَهُمْ وَيَذْكُرُوا۟ ٱسْمَ ٱللَّهِ فِىٓ أَيَّامٍ مَّعْلُومَٰتٍ عَلَىٰ مَا رَزَقَهُم مِّنۢ بَهِيمَةِ ٱلْأَنْعَٰمِ فَكُلُوا۟ مِنْهَا وَأَطْعِمُوا۟ ٱلْبَآئِسَ ٱلْفَقِيرَ,"So that they come to what will bring them benefit such as forgiveness of sins, attaining reward, unity of word, and so forth; and so that they remember Allah on the animals they slaughter in the known days, which are: the tenth of Dhu’l-Hijjah and three days after it, in gratitude to Allah for the camels, cows and sheep He granted them. So eat of these animals and feed from them those who are extremely poor."
"Let them then attend to their persons and complete the rites of pilgrimage, fulfil their vows and circuit round the ancient House.",28,22,ثُمَّ لْيَقْضُوا۟ تَفَثَهُمْ وَلْيُوفُوا۟ نُذُورَهُمْ وَلْيَطَّوَّفُوا۟ بِٱلْبَيْتِ ٱلْعَتِيقِ,"Then they should complete what remains of their Hajj rites, coming out of ihraam by shaving their heads, clipping their nails, and removing the dirt which has accumulated on them due to ihraam, and fulfil the Hajj, Umrah or sacrificial animal they made binding on themselves. They should perform the Tawaaf Ifadah of the House which Allah freed from the control of tyrants."
"Apart from this, whoever respects the sacred ordinances of God, will find a better reward for him with his Lord. You are allowed to eat all cattle except those already mentioned to you. Avoid the repugnance of idols, and false and frivolous talk.",29,22,ذَٰلِكَ وَمَن يُعَظِّمْ حُرُمَٰتِ ٱللَّهِ فَهُوَ خَيْرٌ لَّهُۥ عِندَ رَبِّهِۦ وَأُحِلَّتْ لَكُمُ ٱلْأَنْعَٰمُ إِلَّا مَا يُتْلَىٰ عَلَيْكُمْ فَٱجْتَنِبُوا۟ ٱلرِّجْسَ مِنَ ٱلْأَوْثَٰنِ وَٱجْتَنِبُوا۟ قَوْلَ ٱلزُّورِ,"That which you have been ordered, i.e., coming out of ihraam by shaving the head, clipping the nails, removing dirt, fulfilling the vow and circumambulating the House, is what Allah has made obligatory on you. So respect what Allah has made obligatory on you. Whoever refrains from what Allah has ordered him to refrain from during his ihraam, out of respect for not trespassing the limits of Allah and making lawful its prohibitions, it is better for him in this world and the afterlife in the sight of his Lord. O people, camels, cows and sheep amongst livestock have been made lawful for you. He did not make unlawful for you hami, bahirah or wasilah. He only made unlawful for you what you find in the Qur’ān, such as carrion, blood and so forth. Stay far from the impurity of idols and stay far from lying and false evidence."
Turn uprightly to God without ascribing compeers to Him; for he who associates any one with God is like a thing that falls from the sky and is either snatched away by birds or carried far away by the wind.,30,22,حُنَفَآءَ لِلَّهِ غَيْرَ مُشْرِكِينَ بِهِۦ وَمَن يُشْرِكْ بِٱللَّهِ فَكَأَنَّمَا خَرَّ مِنَ ٱلسَّمَآءِ فَتَخْطَفُهُ ٱلطَّيْرُ أَوْ تَهْوِى بِهِ ٱلرِّيحُ فِى مَكَانٍ سَحِيقٍ,"Refrain from this, turning away from every religion besides the religion He is pleased with, without associating any partner with Him in worship. Whoever associates a partner with Allah, it is as though He has fallen from the sky, then either the birds snatch his meat and bones or the wind flings him to a distant place."
"All this, and honouring the offerings to God, comes from purity of heart.",31,22,ذَٰلِكَ وَمَن يُعَظِّمْ شَعَٰٓئِرَ ٱللَّهِ فَإِنَّهَا مِن تَقْوَى ٱلْقُلُوبِ,"That is what Allah ordered, namely His oneness, being sincere to Him, and refraining from idols and false speech. Whoever respects the signs of the religion, amongst them sacrificial animals and the rites of Hajj, respecting them is part of the hearts being mindful of their Lord."
", There are advantages for you in these (cattle) up to a time, then their place is the ancient House for sacrifice.",32,22,لَكُمْ فِيهَا مَنَٰفِعُ إِلَىٰٓ أَجَلٍ مُّسَمًّى ثُمَّ مَحِلُّهَآ إِلَى ٱلْبَيْتِ ٱلْعَتِيقِ,"For you in the sacrificial animals that you slaughter at the House are benefits, such as riding, wool, procreation, milk, until a limited time to the time of their slaughter near the House of Allah which He freed from the control of tyrants."
"For every community We have ordained certain rites that they may commemorate the name of God by reading it over the cattle We have given them for sacrifice. Your God is one God, so be obedient to Him. Give good tidings to those who bow in obedience to God,",33,22,وَلِكُلِّ أُمَّةٍ جَعَلْنَا مَنسَكًا لِّيَذْكُرُوا۟ ٱسْمَ ٱللَّهِ عَلَىٰ مَا رَزَقَهُم مِّنۢ بَهِيمَةِ ٱلْأَنْعَٰمِ فَإِلَٰهُكُمْ إِلَٰهٌ وَٰحِدٌ فَلَهُۥٓ أَسْلِمُوا۟ وَبَشِّرِ ٱلْمُخْبِتِينَ,"For every previous nation I made rites to shed blood, as a means of closeness to Allah, in the hope they will remember Allah at the time of slaughtering these sacrificial animals, and in gratitude to Allah for the camels, cows and sheep He granted them. Your true god, O people, is One God who has no partner, so submit to Him alone through submission and obedience. And O Messenger, tell those who are humbly submissive and sincere what will please them."
"Whose hearts are filled with awe when the name of God is mentioned before them, who endure with fortitude what befalls them, and fulfil their moral obligations, and expend of what We have given them.",34,22,ٱلَّذِينَ إِذَا ذُكِرَ ٱللَّهُ وَجِلَتْ قُلُوبُهُمْ وَٱلصَّٰبِرِينَ عَلَىٰ مَآ أَصَابَهُمْ وَٱلْمُقِيمِى ٱلصَّلَوٰةِ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,"Those who when they remember Allah, fear His punishment and thus move far away from opposing His command, perform their prayer completely, be patient if any affliction befalls them, and spend in the different avenues of righteousness from what Allah has granted them."
"We have made the camels signs of God for you. There is good for you in this. So pronounce the name of God over them as they stand with their forefeet in a line. When they have fallen (slaughtered) on their sides, eat of (their meat) and feed those who are content with little, and those who supplicate. That is why We have brought them under your subjugation so that you may be grateful.",35,22,وَٱلْبُدْنَ جَعَلْنَٰهَا لَكُم مِّن شَعَٰٓئِرِ ٱللَّهِ لَكُمْ فِيهَا خَيْرٌ فَٱذْكُرُوا۟ ٱسْمَ ٱللَّهِ عَلَيْهَا صَوَآفَّ فَإِذَا وَجَبَتْ جُنُوبُهَا فَكُلُوا۟ مِنْهَا وَأَطْعِمُوا۟ ٱلْقَانِعَ وَٱلْمُعْتَرَّ كَذَٰلِكَ سَخَّرْنَٰهَا لَكُمْ لَعَلَّكُمْ تَشْكُرُونَ,"And I have made the camels which are taken to the House amongst the sacred signs and symbols of the religion. In them are worldly and religious benefits for you, so say “in the name of Allah” when slaughtering them, after their feet have been lined up whilst standing and one of their feet has been tied so that they do not flee. Then when they fall on their sides after being slaughtered, eat of them, O those who are sacrificing, and give of them to the pauper who desists from begging and the pauper who comes forward to be granted a share of them. Just as I made them submissive to you so that you carry loads on them and ride them, I have also made them submissive to you so they are led to the place you slaughter them in, as a means of closeness to Allah, so that you are grateful to Allah for the blessing of making them submissive to you."
It is not their meat or blood that reaches God: It is the fealty of your heart that reaches him. That is why He has subjugated them to you that you may glorify God for having shown you the way. So give glad tidings to those who are doers of good.,36,22,لَن يَنَالَ ٱللَّهَ لُحُومُهَا وَلَا دِمَآؤُهَا وَلَٰكِن يَنَالُهُ ٱلتَّقْوَىٰ مِنكُمْ كَذَٰلِكَ سَخَّرَهَا لَكُمْ لِتُكَبِّرُوا۟ ٱللَّهَ عَلَىٰ مَا هَدَىٰكُمْ وَبَشِّرِ ٱلْمُحْسِنِينَ,"Neither does the meat of the sacrificial animals you present nor their blood ever reach Allah, nor is it raised towards Him, but rather your mindfulness of Allah therein is raised towards Him, through your being sincere to Him in your obedience to seek closeness to Him through it. In that way, Allah made them submissive to you, so that you proclaim Allah’s greatness, thanking Him for the truth He has guided you to. O Messenger, inform those who are excellent in worshipping their Lord and in dealing with His creation what will make them happy."
God will certainly defend the believers. Surely God does not like the traitors who deny the truth.,37,22,إِنَّ ٱللَّهَ يُدَٰفِعُ عَنِ ٱلَّذِينَ ءَامَنُوٓا۟ إِنَّ ٱللَّهَ لَا يُحِبُّ كُلَّ خَوَّانٍ كَفُورٍ,"Allah defends those who have faith from the evil of their enemies. Allah does not love anyone who is treacherous in his trust and who rejects the blessings of Allah; in fact, Allah despises him."
Permission is granted those (to take up arms) who fight because they were oppressed. God is certainly able to give help to those,38,22,أُذِنَ لِلَّذِينَ يُقَٰتَلُونَ بِأَنَّهُمْ ظُلِمُوا۟ وَإِنَّ ٱللَّهَ عَلَىٰ نَصْرِهِمْ لَقَدِيرٌ,"Allah has given permission to fight to the believers who are fought by the idolaters, due to their being oppressed by their enemies. Allah has the power to help the believers against their enemies without fighting. However, the wisdom of Allah required that the believers be tested through fighting the disbelievers."
"Who were driven away from their homes for no other reason than they said: ""Our Lord is God."" And if God had not restrained some men through some others, monastries, churches, synagogues and mosques, where the name of God is honoured most, would have been razed. God will surely help those who help Him, -- verily God is all-powerful and all-mighty, --",39,22,ٱلَّذِينَ أُخْرِجُوا۟ مِن دِيَٰرِهِم بِغَيْرِ حَقٍّ إِلَّآ أَن يَقُولُوا۟ رَبُّنَا ٱللَّهُ وَلَوْلَا دَفْعُ ٱللَّهِ ٱلنَّاسَ بَعْضَهُم بِبَعْضٍ لَّهُدِّمَتْ صَوَٰمِعُ وَبِيَعٌ وَصَلَوَٰتٌ وَمَسَٰجِدُ يُذْكَرُ فِيهَا ٱسْمُ ٱللَّهِ كَثِيرًا وَلَيَنصُرَنَّ ٱللَّهُ مَن يَنصُرُهُۥٓ إِنَّ ٱللَّهَ لَقَوِىٌّ عَزِيزٌ,"Those whom the disbelievers unjustly exiled from their homes, not due to any crime they committed but because they said: “Our Lord is Allah; we have no Lord besides Him”. Had Allah not legislated for the prophets and believers fighting against their enemies, they would have invaded the places of worship, destroying the monasteries of the monks, Christian churches, Jewish synagogues, and the mosques of the Muslims which have been made for prayer and in which the Muslims remember Allah abundantly. Allah will help those who help His religion and Prophet. Allah has power to help whoever helps His religion and is Mighty, with nobody able to overcome Him."
"Those who would be firm in devotion, give zakat, and enjoin what is good and forbid what is wrong, if We gave them authority in the land. But the resultance of things rests with God.",40,22,ٱلَّذِينَ إِن مَّكَّنَّٰهُمْ فِى ٱلْأَرْضِ أَقَامُوا۟ ٱلصَّلَوٰةَ وَءَاتَوُا۟ ٱلزَّكَوٰةَ وَأَمَرُوا۟ بِٱلْمَعْرُوفِ وَنَهَوْا۟ عَنِ ٱلْمُنكَرِ وَلِلَّهِ عَٰقِبَةُ ٱلْأُمُورِ,"These people who have been promised help are those who, if I were to establish on earth by helping them against their enemies, would perform prayer in the most perfect manner, give Zakat of their wealth, command what the sacred law has commanded and forbid what it has forbidden. To Allah alone is where matters return, with respect to reward and punishment."
"If they accuse you of falsehood, (remember that) the people of Noah, 'Ad and Thamud had accused (their apostles) before,",41,22,وَإِن يُكَذِّبُوكَ فَقَدْ كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَعَادٌ وَثَمُودُ,"O Messenger, if your people reject you, be patient. You are not the first messenger to be rejected by his people. Before your people, the people of Noah rejected Noah, Aad rejected Hud and Thamud rejected Salih."
"And the people of Abraham and Lot,",42,22,وَقَوْمُ إِبْرَٰهِيمَ وَقَوْمُ لُوطٍ,The people of Abraham rejected Abraham and the people of Lot rejected Lot.
And the people of Midian too. Moses was also accused of lies. So I allowed the infidels respite and then seized them. How was My reprobation then!,43,22,وَأَصْحَٰبُ مَدْيَنَ وَكُذِّبَ مُوسَىٰ فَأَمْلَيْتُ لِلْكَٰفِرِينَ ثُمَّ أَخَذْتُهُمْ فَكَيْفَ كَانَ نَكِيرِ,"The people of Madyan rejected Shuayb, and Pharaoh and his people rejected Moses. I deferred the punishment from their people, to gradually lead them away, then I seized them with the punishment. So contemplate how I reproached them; I destroyed them due to their disbelief."
"How many a habitation given to wickedness have We destroyed, whose roofs tumbled down, which fell into ruins. How many a well and fortress reinforced lie abandoned!",44,22,فَكَأَيِّن مِّن قَرْيَةٍ أَهْلَكْنَٰهَا وَهِىَ ظَالِمَةٌ فَهِىَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا وَبِئْرٍ مُّعَطَّلَةٍ وَقَصْرٍ مَّشِيدٍ,"How many cities, which were unjust because of their disbelief, I destroyed with obliterating punishment. Their homes are ruined and empty of inhabitants. How many wells are there which have nobody to drink from them, due to their being destroyed. How many lofty decorated palaces are there which could not save their residents from the punishment."
"Have they not travelled in the land that they could have the heart to understand, and ears to hear? It is not the eyes alone that do not see, oblivious are the hearts within their breasts.",45,22,أَفَلَمْ يَسِيرُوا۟ فِى ٱلْأَرْضِ فَتَكُونَ لَهُمْ قُلُوبٌ يَعْقِلُونَ بِهَآ أَوْ ءَاذَانٌ يَسْمَعُونَ بِهَا فَإِنَّهَا لَا تَعْمَى ٱلْأَبْصَٰرُ وَلَٰكِن تَعْمَى ٱلْقُلُوبُ ٱلَّتِى فِى ٱلصُّدُورِ,"Did these people who reject what the Messenger (peace be upon him) brought not travel in the land, to see the remains of these destroyed cities, so that they would reflect with their minds to take heed and so that they would to accept their stories to learn from them? It is established that blindness is not blindness of eyesight, but rather the blindness which is destructive is blindness of insight, where such a person does not reflect or take lessons."
That is how they ask you to hasten the punishment; but God does not go back on His promise. Verily a day with your Lord is equal by your reckoning to a thousand years.,46,22,وَيَسْتَعْجِلُونَكَ بِٱلْعَذَابِ وَلَن يُخْلِفَ ٱللَّهُ وَعْدَهُۥ وَإِنَّ يَوْمًا عِندَ رَبِّكَ كَأَلْفِ سَنَةٍ مِّمَّا تَعُدُّونَ,"O Messenger, the disbelievers amongst your people seek quick punishment in this world and deferred punishment in the Hearafter, when they were warned of them. Allah will never break the promise of it He has made to them. Amongst the quick punishment is what befell them on the day of Badr. And one day of punishment in the afterlife is like a thousand years of what you count in worldly years, due to the punishment it contains."
"To how many habitations did We give respite, though given to wickedness, and then seized them. To Me they had to come back in the end.",47,22,وَكَأَيِّن مِّن قَرْيَةٍ أَمْلَيْتُ لَهَا وَهِىَ ظَالِمَةٌ ثُمَّ أَخَذْتُهَا وَإِلَىَّ ٱلْمَصِيرُ,"How many towns are there which I gave respite to in punishment and which were oppressive due to their disbelief. I did not punish them instantly, to gradually lead them on, then I seized them by an obliterating punishment. To Me alone is their return on the Day of Judgment, then I will reward them for their disbelief with the everlasting punishment."
"Tell them: ""O men, it's my duty to warn you clearly.""",48,22,قُلْ يَٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَآ أَنَا۠ لَكُمْ نَذِيرٌ مُّبِينٌ,"O people, I am only a warner to you, conveying to you what I have been sent with and clear in my warning."
For those who believe and do the right is forgiveness and gracious provision.,49,22,فَٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ لَهُم مَّغْفِرَةٌ وَرِزْقٌ كَرِيمٌ,"So those who have faith and did good actions will have forgiveness from their Lord for their sins, and for them is noble sustenance in paradise which will never end."
But those who try to defeat Our signs are people of Hell.,50,22,وَٱلَّذِينَ سَعَوْا۟ فِىٓ ءَايَٰتِنَا مُعَٰجِزِينَ أُو۟لَٰٓئِكَ أَصْحَٰبُ ٱلْجَحِيمِ,"Those who strive to deny our verses, believing they will be able to render Allah powerless and escape Him so that He cannot punish them, those are the people of the fire of hell, staying constantly in it just as companions stay with one another."
"We have sent no messenger or apostle before you with whose recitations Satan did not tamper. Yet God abrogates what Satan interpolates; then He confirms His revelations, for God is all-knowing and all-wise.",51,22,وَمَآ أَرْسَلْنَا مِن قَبْلِكَ مِن رَّسُولٍ وَلَا نَبِىٍّ إِلَّآ إِذَا تَمَنَّىٰٓ أَلْقَى ٱلشَّيْطَٰنُ فِىٓ أُمْنِيَّتِهِۦ فَيَنسَخُ ٱللَّهُ مَا يُلْقِى ٱلشَّيْطَٰنُ ثُمَّ يُحْكِمُ ٱللَّهُ ءَايَٰتِهِۦ وَٱللَّهُ عَلِيمٌ حَكِيمٌ,"O Messenger, I did not send before you any messenger or prophet except that when he read the Book of Allah, the satan put doubts in his recitation. Then Allah would nullify the whisperings the satan would put, and establish His verses. Allah knows everything, nothing being hidden from Him, and is Wise in His creating, decreeing and planning."
This is in order to make the interpolations of Satan a test for those whose hearts are diseased and hardened: Surely the sinners have gone far in dissent.,52,22,لِّيَجْعَلَ مَا يُلْقِى ٱلشَّيْطَٰنُ فِتْنَةً لِّلَّذِينَ فِى قُلُوبِهِم مَّرَضٌ وَٱلْقَاسِيَةِ قُلُوبُهُمْ وَإِنَّ ٱلظَّٰلِمِينَ لَفِى شِقَاقٍۭ بَعِيدٍ,"The satan puts doubts in the recitation of the Prophet so that Allah makes what he puts as a test for the hypocrites and those idolaters whose hearts have become hard. The oppressors amongst the hypocrites and idolaters are in enmity of Allah and His Messenger, and distance from the truth and guidance."
"At the same time those who have been given knowledge may know that this is the truth from your Lord, and come to believe in it, and their hearts become submissive to Him. Verily God guides those who believe, to the even path.",53,22,وَلِيَعْلَمَ ٱلَّذِينَ أُوتُوا۟ ٱلْعِلْمَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّكَ فَيُؤْمِنُوا۟ بِهِۦ فَتُخْبِتَ لَهُۥ قُلُوبُهُمْ وَإِنَّ ٱللَّهَ لَهَادِ ٱلَّذِينَ ءَامَنُوٓا۟ إِلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,"And so that those whom Allah gave knowledge are convinced that the Qur’ān revealed to Muhammad (peace be upon him) is the truth Allah revealed to you, O Messenger, thus increasing their faith in it and so that their hearts submit and humble themselves before it. Allah is the Guide of those who have faith toward the straight path of truth which contains no crookedness, as a reward for their submitting to it."
"The infidels will remain in doubt about it till the Hour overtakes them unawares, or the punishment of the barren day destructive should come upon them.",54,22,وَلَا يَزَالُ ٱلَّذِينَ كَفَرُوا۟ فِى مِرْيَةٍ مِّنْهُ حَتَّىٰ تَأْتِيَهُمُ ٱلسَّاعَةُ بَغْتَةً أَوْ يَأْتِيَهُمْ عَذَابُ يَوْمٍ عَقِيمٍ,"Those who disbelieved in Allah and denied His Messenger will remain in doubt about the Qur’ān Allah revealed to you, continuing until the Hour comes to them suddenly whilst they are in that condition or the punishment of a day in which there is no mercy or good comes to them, and it is the Day of Judgment with respect to them."
The order will be God's on that Day; He will judge between them. Then those who had come to believe and done the right will be in gardens of delight.,55,22,ٱلْمُلْكُ يَوْمَئِذٍ لِّلَّهِ يَحْكُمُ بَيْنَهُمْ فَٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ فِى جَنَّٰتِ ٱلنَّعِيمِ,"Supreme authority on the Day of Judgment - the day when the punishment these people have been promised shall come to them, will only be for Allah alone. He will have no competitor for it, and He will judge between the believers and the disbelievers. He will judge for each of them as they deserve: those who had faith and performed good deeds will be granted a great reward in eternal gardens of everlasting bounties."
"But those who did not believe and called Our revelations lies, will be given disgraceful punishment.",56,22,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔايَٰتِنَا فَأُو۟لَٰٓئِكَ لَهُمْ عَذَابٌ مُّهِينٌ,And those who disbelieved in Allah and rejected the signs He revealed unto His Messenger will face a humiliating punishment in hell.
"Those who left their homes in the way of God, and then were killed or died, will surely be given a better provision by God, for God is surely the best of providers.",57,22,وَٱلَّذِينَ هَاجَرُوا۟ فِى سَبِيلِ ٱللَّهِ ثُمَّ قُتِلُوٓا۟ أَوْ مَاتُوا۟ لَيَرْزُقَنَّهُمُ ٱللَّهُ رِزْقًا حَسَنًا وَإِنَّ ٱللَّهَ لَهُوَ خَيْرُ ٱلرَّٰزِقِينَ,"As for those who left their houses and homelands in honour of Allah’s religion and seeking His pleasure, and were killed whilst striving in His path or died, Allah shall grant them an everlasting sustenance in paradise. Indeed, Allah is the best of sustainers."
God will surely lead them to a place with which they will be gratified. Verily God is all-knowing and forbearing.,58,22,لَيُدْخِلَنَّهُم مُّدْخَلًا يَرْضَوْنَهُۥ وَإِنَّ ٱللَّهَ لَعَلِيمٌ حَلِيمٌ,Allah will definitely enter them into a place they shall be pleased with. And Allah is well aware of their intentions and their deeds; forbearing in that He did not punish them hastily on their shortcomings.
"Whosoever retaliates to the extent of injury suffered by him, and is wronged again, will certainly be helped by God. Verily God is forgiving and kind.",59,22,ذَٰلِكَ وَمَنْ عَاقَبَ بِمِثْلِ مَا عُوقِبَ بِهِۦ ثُمَّ بُغِىَ عَلَيْهِ لَيَنصُرَنَّهُ ٱللَّهُ إِنَّ ٱللَّهَ لَعَفُوٌّ غَفُورٌ,"The aforementioned, i.e. those who migrated in the path of Allah being entered into paradise, and permission for the wronged to avenge justly without incurring sin. If the oppressor returns to his oppression, Allah will help the oppressed. Indeed, Allah overlooks the sins of the believers and forgives them."
"That is so for God turns night into day and day into night, for God is all-hearing and all-seeing;",60,22,ذَٰلِكَ بِأَنَّ ٱللَّهَ يُولِجُ ٱلَّيْلَ فِى ٱلنَّهَارِ وَيُولِجُ ٱلنَّهَارَ فِى ٱلَّيْلِ وَأَنَّ ٱللَّهَ سَمِيعٌۢ بَصِيرٌ,"The helping of the oppressed is because Allah is capable of doing as He wills. From His capabilities is entering the night into the day and the day into the night, by increasing one and decreasing the other. Allah also hears the statements of His servants and knows of their actions; nothing is hidden from Him and He shall requit them accordingly."
"That is so for God is the undeniable truth, and what they invoke apart from Him is false; yet God is all-high and supreme.",61,22,ذَٰلِكَ بِأَنَّ ٱللَّهَ هُوَ ٱلْحَقُّ وَأَنَّ مَا يَدْعُونَ مِن دُونِهِۦ هُوَ ٱلْبَٰطِلُ وَأَنَّ ٱللَّهَ هُوَ ٱلْعَلِىُّ ٱلْكَبِيرُ,"The aforementioned, i.e. entering the night into the day and the day into the night, is because Allah is truly existent, and so His religion is the truth, His promise is also true and His helping the believers is also true. The idols that the idolaters worship instead of Allah are false and have no basis. And Allah is supreme over His creation in being, in power and in subjugation; the Grand to Whom belongs all majesty, grandeur and exaltedness."
Do you not see how God sends down water from the sky and in the morning the earth turns green? Truly God is benign and well-informed.,62,22,أَلَمْ تَرَ أَنَّ ٱللَّهَ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَتُصْبِحُ ٱلْأَرْضُ مُخْضَرَّةً إِنَّ ٱللَّهَ لَطِيفٌ خَبِيرٌ,"O Messenger! Do you not see that Allah causes rain to fall from the sky, and consequently the earth becomes green owing to the vegetation that grows upon it after the rain has fallen? Allah is kind to His servants in that He makes the rain fall for them, and makes the earth grow crops. He is also well aware of their requirements; nothing is hidden from Him."
"Whatsoever is in the heavens and the earth belongs to Him. Surely God is all-sufficing, worthy of praise.",63,22,لَّهُۥ مَا فِى ٱلسَّمَٰوَٰتِ وَمَا فِى ٱلْأَرْضِ وَإِنَّ ٱللَّهَ لَهُوَ ٱلْغَنِىُّ ٱلْحَمِيدُ,To Him alone belongs supreme authority of the heavens and the earth. He is The Self-sufficient who is never needy of any of His creation; the eternally existent.
"Do you not see God has harnessed all that is in the earth, to your service? And the boats ply in the ocean by His command. He holds the sky in position lest it should fall upon the earth save by His dispensation. Verily God is compassionate and kind to men.",64,22,أَلَمْ تَرَ أَنَّ ٱللَّهَ سَخَّرَ لَكُم مَّا فِى ٱلْأَرْضِ وَٱلْفُلْكَ تَجْرِى فِى ٱلْبَحْرِ بِأَمْرِهِۦ وَيُمْسِكُ ٱلسَّمَآءَ أَن تَقَعَ عَلَى ٱلْأَرْضِ إِلَّا بِإِذْنِهِۦٓ إِنَّ ٱللَّهَ بِٱلنَّاسِ لَرَءُوفٌ رَّحِيمٌ,"O Messenger! Do you not see that Allah has made the animals and other objects manageable for your needs and benefit, and the benefit of the masses? He also made manageable for you the ships that sail the oceans with His command; sailing from city to city. He also holds back the sky so it does not fall onto Earth except with His command; if He allowed it to fall it would. Indeed, Allah is benevolent and merciful towards the people such that He made these things manageable for them, despite their potential harm."
"It is He who gives you life, then makes you die; then He will bring you back to life again. Man is surely most ungrateful.",65,22,وَهُوَ ٱلَّذِىٓ أَحْيَاكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ إِنَّ ٱلْإِنسَٰنَ لَكَفُورٌ,"Allah is the only One Who gave you life, in that He gave you existence when you were non-existent. He will then cause death upon you when your lives expire, and then will revive you after your death to hold you to account for your deeds and requit you for them. Verily, the human is ever in denial of the bounties of Allah, despite their being so clear."
We have determined for each community a way of worship which they follow. So they should not contend with you in this matter; and you should go on calling them to your Lord. You are surely on the right path.,66,22,لِّكُلِّ أُمَّةٍ جَعَلْنَا مَنسَكًا هُمْ نَاسِكُوهُ فَلَا يُنَٰزِعُنَّكَ فِى ٱلْأَمْرِ وَٱدْعُ إِلَىٰ رَبِّكَ إِنَّكَ لَعَلَىٰ هُدًى مُّسْتَقِيمٍ,"I have made a set of laws for the people of every creed. O Messenger! Let the idolaters and people of other creeds not contest with you in your set of laws, because you are more deserving of it than them as they are the people of falsehood. Invite the people towards sincerely proclaiming the oneness of Allah; indeed, you are on the straight path, in which there is no deviation."
"If they argue with you, tell them: ""God knows well what you are doing.",67,22,وَإِن جَٰدَلُوكَ فَقُلِ ٱللَّهُ أَعْلَمُ بِمَا تَعْمَلُونَ,"If they insist on quarrelling with you after the evidence has become clear, leave their matter to Allah, warning them and saying: “Allah is most aware of the actions you do, none of your actions are hidden from Him, and He will requit you for them”."
"God will judge between you on the Day of Judgement in what you are at variance.""",68,22,ٱللَّهُ يَحْكُمُ بَيْنَكُمْ يَوْمَ ٱلْقِيَٰمَةِ فِيمَا كُنتُمْ فِيهِ تَخْتَلِفُونَ,"Allah will judge between His servants: the believers and the disbelievers from among them, on the Day of Judgment, in the matters of religion they would dispute over in the world."
